문제ID,설계, 난이도,내용,보기1,보기2,보기3,보기4,보기답
DESIGN_T_002,설계,TOUGH,"$x$에 대한 두 이차방정식 $x^2 + ax + b = 0$과 $x^2 + bx + a = 0$이 오직 하나의 공통근을 가질 때, $a+b$의 값은? (단, $a \neq b$)","두 방정식의 공통근을 $\alpha$로 두고 각 방정식에 대입하여 $\alpha^2 + a\alpha + b = 0$, $\alpha^2 + b\alpha + a = 0$을 세운다.","최고차항을 소거하기 위해 두 식을 변끼리 빼서 $(a-b)\alpha - (a-b) = 0$을 유도한다.","조건에서 $a \neq b$이므로 양변을 $(a-b)$로 나누어 공통근 $\alpha = 1$을 구한다.","구한 공통근 $\alpha=1$을 원래의 이차방정식 중 하나에 대입하여 $a+b$의 최종 값을 알아낸다.",1-2-3-4
DESIGN_T_003,설계,TOUGH,"이차방정식 $x^2 - 4x - 1 = 0$의 두 근을 $\alpha, \beta$라 할 때, $\frac{\beta}{\alpha} + \frac{\alpha}{\beta}$의 값은?","이차방정식의 근과 계수의 관계를 이용하여 두 근의 합 $\alpha+\beta=4$와 곱 $\alpha\beta=-1$을 구한다.","구하고자 하는 식을 공통분모 $\alpha\beta$로 통분하여 $\frac{\alpha^2+\beta^2}{\alpha\beta}$ 형태로 변형한다.","분자의 $\alpha^2+\beta^2$을 곱셈공식의 변형을 이용하여 $(\alpha+\beta)^2 - 2\alpha\beta$로 바꾼다.","구해둔 합과 곱의 값을 변형된 식에 대입하여 최종적인 분수식의 값을 계산한다.",1-2-3-4
DESIGN_T_004,설계,TOUGH,"다항식 $x^2y - y^3 - x^2 + y^2$을 올바르게 인수분해하는 과정은?","네 개의 항을 두 개씩 짝지어 공통인수를 찾기 위해 $(x^2y - x^2) - (y^3 - y^2)$으로 묶는다.","첫 번째 괄호에서 $x^2$을, 두 번째 괄호에서 $y^2$을 빼내어 $x^2(y - 1) - y^2(y - 1)$로 정리한다.","공통인수 $(y - 1)$이 생겼음을 확인하고 전체 식을 $(y - 1)(x^2 - y^2)$으로 묶어낸다.","뒤의 괄호에 합차공식을 적용하여 최종적으로 $(y - 1)(x - y)(x + y)$로 인수분해를 완성한다.",1-2-3-4
DESIGN_T_005,설계,TOUGH,"분수 $\frac{3x+11}{x+2}$이 정수가 되도록 하는 모든 정수 $x$의 값의 합은?","분자를 분모인 $x+2$의 배수 형태로 쪼개어 $\frac{3(x+2) + 5}{x+2}$로 식을 변형한다.","분수를 정수 부분과 분수 부분으로 나누어 $3 + \frac{5}{x+2}$의 형태로 정리한다.","전체 식이 정수가 되려면 분수 부분의 분모 $x+2$가 $5$의 약수($\pm 1, \pm 5$)가 되어야 함을 파악한다.","$x+2$가 각각 $1, -1, 5, -5$가 될 때의 $x$값을 모두 구하고 그 합을 계산한다.",1-2-3-4
DESIGN_T_006,설계,TOUGH,"일정한 속력으로 달리는 기차가 길이 $800\text{m}$의 철교를 완전히 통과하는 데 $40$초가 걸리고, 길이 $1200\text{m}$의 터널을 통과할 때는 $30$초 동안 기차가 보이지 않았다. 이 기차의 길이는?","기차의 길이를 $x\text{m}$로 두고, 철교를 완전히 통과할 때 이동한 거리가 $(800+x)\text{m}$임을 파악한다.","터널에서 완전히 보이지 않는 동안 이동한 거리는 $(1200-x)\text{m}$임을 파악한다.","두 구간에서 기차의 속력은 일정하므로 $\frac{800+x}{40} = \frac{1200-x}{30}$이라는 일차방정식을 세운다.","양변에 최소공배수를 곱하여 일차방정식을 풀고 기차의 길이 $x$를 구한다.",1-2-3-4
DESIGN_T_007,설계,TOUGH,"$10\%$의 소금물 $200\text{g}$이 있다. 이 소금물에서 물 $x\text{g}$을 증발시키고 대신 소금 $x\text{g}$을 넣었더니 $40\%$의 소금물이 되었다. 이때 $x$의 값은?","처음 $10\%$ 소금물 $200\text{g}$에 들어있는 소금의 양을 $\frac{10}{100} \times 200 = 20\text{g}$으로 구한다.","물 증발과 소금 추가 과정을 거쳐도 전체 소금물의 양은 $200\text{g}$으로 유지됨을 파악한다.","변화된 소금물 안의 소금의 양이 $(20+x)\text{g}$이 됨을 이용하여 농도 식 $\frac{20+x}{200} \times 100 = 40$을 세운다.","세워진 일차방정식을 풀어 추가한 소금의 양 $x$를 계산한다.",1-2-3-4
DESIGN_T_008,설계,TOUGH,"어떤 시계가 $4$시 $10$분을 가리킬 때, 시침과 분침이 이루는 각 중 작은 쪽의 각의 크기는?","$12$시 정각을 기준으로 분침이 $10$분 동안 움직인 각도인 $10 \times 6^\circ = 60^\circ$를 계산한다.","시침이 $4$시 정각일 때 가리키는 기본 각도인 $4 \times 30^\circ = 120^\circ$를 확인한다.","시침이 $10$분 동안 추가로 움직인 각도 $10 \times 0.5^\circ = 5^\circ$를 기본 각도에 더해 $125^\circ$를 구한다.","시침의 총 각도와 분침의 총 각도의 차이를 구하여 두 바늘이 이루는 각의 크기를 알아낸다.",1-2-3-4
DESIGN_T_009,설계,TOUGH,"이차함수 $y=x^2 - 2kx + 3k$의 최솟값이 $-4$일 때, 양수 $k$의 값은?","주어진 이차함수 식을 완전제곱식을 이용하여 $y = (x-k)^2 - k^2 + 3k$ 꼴의 표준형으로 변형한다.","표준형을 통해 $x=k$일 때 이차함수의 최솟값이 $-k^2 + 3k$임을 파악한다.","구해진 최솟값이 문제의 조건과 같다는 식 $-k^2 + 3k = -4$를 세워 이차방정식을 만든다.","이차방정식을 인수분해하여 풀고, $k>0$이라는 조건을 만족하는 $k$의 값을 최종 선택한다.",1-2-3-4
DESIGN_T_010,설계,TOUGH,"연립부등식 $3x - 1 > x + a$, $2x + 5 \ge 4x - 1$을 만족하는 정수 $x$가 딱 $3$개일 때, 상수 $a$의 값의 범위는?","두 번째 부등식에서 $x$를 이항하고 정리하여 $x \le 3$이라는 해의 범위를 구한다.","첫 번째 부등식에서 $x$를 이항하여 $x > \frac{a+1}{2}$라는 해의 범위를 구한다.","공통 범위 내의 정수 $x$가 딱 $3$개이려면 그 정수들이 $3, 2, 1$이어야 함을 파악한다.","경계값 $\frac{a+1}{2}$가 $0$과 $1$ 사이에 있어야 하므로 부등식 $0 \le \frac{a+1}{2} < 1$을 세우고 푼다.",1-2-3-4
DESIGN_T_011,설계,TOUGH,"어느 상품의 가격을 $1000$원으로 하면 하루에 $500$개가 팔리고, 가격을 $10$원 올릴 때마다 하루 판매량은 $2$개씩 줄어든다. 하루 총 판매액을 최대로 하는 이 상품의 가격은?","가격을 $10$원씩 올리는 횟수를 미지수 $x$로 설정한다.","상품의 새로운 가격을 $1000 + 10x$로, 판매량을 $500 - 2x$로 각각 수식화한다.","하루 총 판매액 $y$를 가격과 판매량의 곱인 $y = (1000 + 10x)(500 - 2x)$ 이차함수로 나타낸다.","이차함수를 전개하고 꼭짓점을 구하는 표준형으로 바꾸어 $y$가 최대일 때의 $x$값과 그때의 가격을 구한다.",1-2-3-4
DESIGN_T_012,설계,TOUGH,"일차함수 $f(x) = ax+b$에 대하여 $f(x+1) - f(x) = 3$이고 $f(2) = 5$일 때, $f(10)$의 값은?","첫 번째 조건의 식에 $ax+b$를 대입하여 $a(x+1)+b - (ax+b) = 3$을 세운다.","식을 전개하고 동류항을 소거하여 이 일차함수의 기울기인 $a = 3$임을 구한다.","두 번째 조건인 $f(2) = 5$에 $a=3, x=2$를 대입하여 $y$절편인 $b = -1$을 구한다.","완성된 함수식 $f(x) = 3x - 1$에 $x=10$을 대입하여 최종 함숫값을 계산한다.",1-2-3-4
DESIGN_T_013,설계,TOUGH,"등식 $\sqrt{0.\dot{4}x} = 0.\dot{6}$을 만족하는 유리수 $x$의 값은?","방정식 양변의 순환소수를 모두 분수 형태로 바꾸어 $\sqrt{\frac{4}{9}x} = \frac{6}{9}$을 세운다.","우변의 분수를 기약분수인 $\frac{2}{3}$로 약분하여 식을 간단히 한다.","근호를 없애기 위해 등식의 양변을 각각 제곱하여 $\frac{4}{9}x = \frac{4}{9}$를 만든다.","양변에 역수를 곱하는 일차방정식 풀이를 통해 $x = 1$을 최종적으로 구한다.",1-2-3-4
DESIGN_T_014,설계,TOUGH,"$2^{16}-1$의 소인수 중에서 $10$보다 크고 $20$보다 작은 자연수의 개수는?","$2^{16}-1$에 합차공식을 연이어 적용하여 $(2^8+1)(2^4+1)(2^2+1)(2^2-1)$로 완전히 인수분해한다.","인수분해된 식에서 가장 작은 괄호인 $2^2-1$과 $2^2+1$을 계산하여 각각 $3$과 $5$를 구한다.","그 다음 괄호인 $2^4+1$을 계산하여 $17$을 구하고 이것이 소수임을 확인한다.","문제 조건에 맞는 $10$과 $20$ 사이의 소인수는 계산된 $17$ 한 개뿐임을 결론 내린다.",1-2-3-4
DESIGN_T_015,설계,TOUGH,"$x$에 대한 이차방정식 $x^2 - 6x + k = 0$의 두 근의 비가 $1:2$일 때, 상수 $k$의 값은?","두 근의 비가 $1:2$이므로 한 근을 $\alpha$, 다른 한 근을 $2\alpha$로 미지수를 설정한다.","이차방정식의 근과 계수의 관계 중 합의 공식을 이용하여 $\alpha + 2\alpha = 6$이라는 식을 세운다.","세워진 일차방정식을 풀어 $\alpha = 2$를 구하고, 이를 통해 두 근이 $2$와 $4$임을 확정한다.","근과 계수의 관계 중 곱의 공식을 이용하여 두 근의 곱 $2 \times 4$가 $k$와 같음을 계산한다.",1-2-3-4
DESIGN_T_016,설계,TOUGH,"세 직선 $y=2x+4, y=-x+4, x=0$으로 둘러싸인 삼각형의 넓이는?","첫 번째와 두 번째 직선의 $y$절편이 모두 $(0, 4)$임을 확인하여 삼각형의 꼭짓점 하나를 구한다.","$x=0$은 $y$축을 의미하므로, 이 삼각형은 $y$축에 의해 넓이를 구할 수 있음을 파악한다.","$y=2x+4$의 $x$절편 $-2$와 $y=-x+4$의 $x$절편 $4$를 구해 밑변의 길이를 $6$으로 설정한다.","삼각형의 넓이 공식 $\frac{1}{2} \times \text{밑변} \times \text{높이}$에 밑변 $6$과 높이 $4$를 대입하여 넓이를 구한다.",1-2-3-4
DESIGN_T_017,설계,TOUGH,"각 자리의 숫자의 합이 $12$인 두 자리 자연수가 있다. 이 수의 십의 자리 숫자와 일의 자리 숫자를 바꾼 수는 처음 수보다 $18$만큼 작다. 처음 수는?","처음 수의 십의 자리 숫자를 $x$, 일의 자리 숫자를 $y$로 두고 첫 번째 식 $x + y = 12$를 세운다.","처음 수를 $10x + y$, 자리를 바꾼 수를 $10y + x$로 수식화한다.","자리를 바꾼 수와 처음 수의 차이에 관한 두 번째 식 $10y + x = (10x + y) - 18$을 세운다.","두 번째 식을 $x - y = 2$로 정리한 후, 첫 번째 식과 연립하여 풀어 $x=7, y=5$를 구한다.",1-2-3-4
DESIGN_T_018,설계,TOUGH,"$x = \frac{-1+\sqrt{5}}{2}$일 때, 다항식 $2x^3+2x^2-2x+5$의 값은?","주어진 식의 양변에 $2$를 곱하고 $1$을 이항하여 $2x+1 = \sqrt{5}$를 만든다.","양변을 제곱하고 식을 정리하여 $x^2+x-1=0$이라는 이차방정식 형태의 조건을 유도한다.","구하고자 하는 다항식의 앞 세 항을 $2x$로 묶어 $2x(x^2+x-1) + 5$의 형태로 변형한다.","유도해 낸 $x^2+x-1=0$을 변형된 다항식에 대입하여 복잡한 계산 없이 최종 값 $5$를 구한다.",1-2-3-4
DESIGN_T_019,설계,TOUGH,"이차방정식 $2x^2 - 8x + 3 = 0$을 완전제곱식을 이용한 꼴 $(x-p)^2 = q$로 나타낼 때, $pq$의 값은?","양변을 $x^2$의 계수인 $2$로 나누고 상수항을 우변으로 이항하여 $x^2 - 4x = -\frac{3}{2}$을 만든다.","좌변을 완전제곱식으로 만들기 위해 일차항 계수 절반의 제곱인 $4$를 양변에 더해준다.","좌변을 $(x-2)^2$으로 인수분해하고 우변을 통분하여 계산해 $(x-2)^2 = \frac{5}{2}$를 완성한다.","식의 형태를 비교하여 $p=2, q=\frac{5}{2}$를 찾고, 이 두 수의 곱을 계산한다.",1-2-3-4
DESIGN_T_020,설계,TOUGH,"$x = \frac{1}{\sqrt{3}-\sqrt{2}}, y = \frac{1}{\sqrt{3}+\sqrt{2}}$일 때, $x^2 + y^2$의 값은?","주어진 $x$와 $y$의 분모와 분자에 켤레무리수를 곱하여 분모를 유리화한다.","유리화된 $x = \sqrt{3}+\sqrt{2}$와 $y = \sqrt{3}-\sqrt{2}$를 더하여 합 $x+y=2\sqrt{3}$을 구한다.","유리화된 두 수를 곱하여 곱 $xy=1$을 구한다.","곱셈공식의 변형인 $x^2 + y^2 = (x+y)^2 - 2xy$에 구한 합과 곱을 대입하여 최종 값을 계산한다.",1-2-3-4
DESIGN_T_021,설계,TOUGH,"자연수 $x, y$에 대하여 $\frac{2}{x} + \frac{3}{y} = 1$을 만족하는 해 $(x, y)$의 개수는?","주어진 분수 방정식의 양변에 최소공배수인 $xy$를 곱하여 분모를 없애고 $2y + 3x = xy$를 만든다.","모든 항을 우변으로 이항하고 공통인수로 묶기 위해 양변에 $6$을 더하여 $xy - 3x - 2y + 6 = 6$을 세운다.","좌변을 두 개의 일차식의 곱으로 완전히 인수분해하여 $(x-2)(y-3) = 6$ 형태로 변형한다.","두 식의 곱이 $6$이 되는 정수의 쌍을 찾고, 자연수 조건을 고려하여 유효한 $(x, y)$ 쌍을 모두 찾는다.",1-2-3-4
DESIGN_T_022,설계,TOUGH,"이차방정식 $x^2 - 5x + 3 = 0$의 두 근을 $\alpha, \beta$라 할 때, $\alpha+1$과 $\beta+1$을 두 근으로 하고 $x^2$의 계수가 $1$인 이차방정식은?","원래 방정식의 근과 계수의 관계를 통해 $\alpha+\beta=5$와 $\alpha\beta=3$을 구한다.","새로운 두 근의 합인 $(\alpha+1) + (\beta+1)$을 전개하여 $(\alpha+\beta) + 2 = 7$을 구한다.","새로운 두 근의 곱인 $(\alpha+1)(\beta+1)$을 전개하여 $\alpha\beta + (\alpha+\beta) + 1 = 9$를 구한다.","구한 새로운 합과 곱을 바탕으로 공식을 적용하여 $x^2 - 7x + 9 = 0$을 완성한다.",1-2-3-4
DESIGN_T_023,설계,TOUGH,"일차함수 $y=ax+b$의 그래프가 제 $1, 2, 4$사분면을 지날 때, 일차함수 $y=bx-a$의 그래프가 지나는 사분면은?","처음 그래프가 제 $3$사분면을 지나지 않으므로 기울기 $a < 0$, $y$절편 $b > 0$임을 추론한다.","새로운 일차함수 $y=bx-a$의 기울기는 $b$이므로 양수임을 파악한다.","새로운 일차함수의 $y$절편은 $-a$이고, $a < 0$이므로 $-a$는 양수임을 파악한다.","기울기가 양수이고 $y$절편도 양수인 직선이 지나는 사분면을 종합하여 알아낸다.",1-2-3-4
DESIGN_T_024,설계,TOUGH,"둘레의 길이가 $400\text{m}$인 원 모양의 트랙을 A는 초속 $5\text{m}$, B는 초속 $3\text{m}$로 걷고 있다. 두 사람이 같은 지점에서 동시에 출발하여 같은 방향으로 돌 때, 처음으로 다시 만나게 되는 것은 출발한 지 몇 초 후인가?","원 모양 트랙에서 같은 방향으로 돌아 만난다는 것은 이동 거리의 차이가 정확히 한 바퀴($400\text{m}$)임을 파악한다.","두 사람이 다시 만나는 데 걸리는 시간을 $x$초로 미지수를 설정한다.","빠른 A의 이동 거리 $5x$에서 느린 B의 이동 거리 $3x$를 뺀 식이 $400$과 같다는 일차방정식을 세운다.","방정식 $2x = 400$을 풀고, 두 사람이 만나는 데 걸린 시간 $x$를 최종적으로 구한다.",1-2-3-4
DESIGN_T_025,설계,TOUGH,"학생들이 승합차를 나누어 타려고 한다. 한 대에 $5$명씩 타면 $12$명이 남고, $7$명씩 타면 마지막 한 대에는 $1$명 이상 $6$명 이하가 탄다고 할 때, 가능한 승합차의 최대 대수는?","승합차의 대수를 미지수 $x$로 두고 전체 학생 수를 $5x+12$로 수식화한다.","$7$명씩 타는 상황에서 완전히 꽉 찬 차는 $(x-1)$대임을 파악한다.","전체 학생 수가 $7(x-1)+1$ 이상이고 $7(x-1)+6$ 이하라는 연립부등식을 세운다.","두 개의 부등식을 각각 풀고 공통 범위를 만족하는 $x$ 중 가장 큰 정수를 구한다.",1-2-3-4
DESIGN_VT_001,설계,VERY TOUGH,"이차함수 $y=x^2-2kx+k^2+3k-1$의 그래프와 직선 $y=2x+m$이 실수 $k$의 값에 관계없이 항상 접할 때, 상수 $m$의 값은?","두 식의 $y$값을 같다고 놓고 우변으로 정리하여 $x^2 - 2(k+1)x + k^2 + 3k - 1 - m = 0$ 이라는 이차방정식을 세운다.","접한다는 조건으로부터 이 이차방정식이 중근을 가져야 하므로 짝수 판별식 $\frac{D}{4} = 0$식을 세운다.","판별식 식을 전개하고 소거한 후, '실수 $k$에 관계없이'라는 조건에 맞춰 $k$가 있는 항과 없는 항으로 묶어 항등식 꼴로 정리한다.","$k$의 계수 부분과 상수항 부분이 모두 $0$이 되어야 한다는 조건을 연립하여 $m$의 최종 값을 구한다.",1-2-3-4
DESIGN_VT_002,설계,VERY TOUGH,"자연수 $n$에 대하여 $n^4 - 10n^2 + 9$가 소수가 되도록 하는 모든 자연수 $n$의 값의 합은?","주어진 복이차식을 $n^2$을 하나의 문자로 생각하여 $(n^2-1)(n^2-9)$로 일차적인 인수분해를 한다.","합차공식을 연이어 적용하여 $(n-1)(n+1)(n-3)(n+3)$의 네 일차식의 곱으로 완전히 인수분해한다.","전체 곱셈의 결과가 소수가 되려면 네 개의 정수 인수 중 세 개가 절대값 $1$을 가져야 함을 추론한다.","인수가 $1$ 또는 $-1$이 될 수 있는 $n$의 후보($2, 4$ 등)를 대입하여 결과가 실제 양의 소수가 되는 $n$만 찾아 합한다.",1-2-3-4
DESIGN_VT_003,설계,VERY TOUGH,"$\sqrt{n^2 - 10n + 40}$이 자연수가 되도록 하는 모든 정수 $n$의 값의 합은?","근호 안의 식을 완전제곱식 형태로 변형하여 $(n-5)^2 + 15$를 만든다.","전체 값이 자연수 $k$가 된다고 가정하고 양변을 제곱하여 $(n-5)^2 + 15 = k^2$ 이라는 식을 세운다.","이항을 통해 $k^2 - (n-5)^2 = 15$를 만들고, 좌변에 합차공식을 적용하여 $(k - n + 5)(k + n - 5) = 15$ 형태의 부정방정식을 유도한다.","곱해서 $15$가 되는 두 정수 쌍을 모두 찾아 연립방정식을 풀고, 이를 만족하는 정수 $n$을 모두 더한다.",1-2-3-4
DESIGN_VT_004,설계,VERY TOUGH,"연립부등식 $2x - a < x + 3 \le 3x + b$를 만족하는 정수 $x$가 오직 $1$뿐일 때, $a-b$의 최댓값은? (단, $a, b$는 정수)","연립부등식을 두 부분으로 나누어 각각 풀고, 해가 $x < a+3$과 $x \ge \frac{3-b}{2}$임을 구한다.","두 해의 공통 범위인 $\frac{3-b}{2} \le x < a+3$ 안에 들어가는 정수가 오직 $1$뿐이어야 함을 파악한다.","경계값의 포함 여부를 고려하여 수직선 상에서 $0 < \frac{3-b}{2} \le 1$ 이고 $1 < a+3 \le 2$ 라는 두 개의 부등식을 세운다.","각 부등식을 풀어 정수 $a, b$의 조건을 구하고, $a$가 최대이고 $b$가 최소일 때 $a-b$가 최대가 됨을 이용하여 값을 계산한다.",1-2-3-4
DESIGN_VT_005,설계,VERY TOUGH,"강을 따라 $24\text{km}$ 떨어진 두 지점을 배를 타고 왕복한다. 강물을 거슬러 올라가는 데 걸린 시간은 강물을 따라 내려오는 데 걸린 시간의 $2$배이고 총 $6$시간이 걸렸다. 정지한 물에서의 배의 속력은?","정지한 물에서의 배의 속력을 $x\text{km/h}$, 강물의 속력을 $y\text{km/h}$로 두 미지수를 설정한다.","거슬러 올라갈 때의 실제 속력을 $(x-y)$, 내려올 때의 실제 속력을 $(x+y)$로 속력을 수식화한다.","시간에 관한 조건으로 $\frac{24}{x-y} = 2 \times \frac{24}{x+y}$와 $\frac{24}{x-y} + \frac{24}{x+y} = 6$ 이라는 연립방정식을 세운다.","분수 형태의 연립방정식에서 첫 번째 식을 정리하여 $x$와 $y$의 비율 관계를 찾고, 이를 두 번째 식에 대입하여 $x$를 구한다.",1-2-3-4
DESIGN_VT_006,설계,VERY TOUGH,"$x$에 대한 이차방정식 $x^2 - (2m-1)x + m^2 - 3 = 0$의 두 근이 모두 음수일 때, 실수 $m$의 값의 범위는?","두 근이 실근이어야 하므로 판별식 $D = (2m-1)^2 - 4(m^2-3) \ge 0$ 식을 세우고 $m$의 첫 번째 범위를 구한다.","두 근이 모두 음수라는 조건에서 근과 계수의 관계를 이용하여 두 근의 합 $2m-1 < 0$ 부등식을 세우고 두 번째 범위를 구한다.","두 근이 모두 음수이므로 두 근의 곱 $m^2-3 > 0$ 이차부등식을 세우고 세 번째 범위를 구한다.","수직선을 그려 앞서 구한 세 부등식의 해의 공통 부분을 찾아 최종적인 $m$의 범위를 확정한다.",1-2-3-4
DESIGN_VT_007,설계,VERY TOUGH,"물통에 물을 채우는 데 A와 B가 함께 하면 $4$시간, B와 C가 함께 하면 $6$시간, C와 A가 함께 하면 $3$시간이 걸린다. 세 호스를 모두 함께 사용하여 가득 채우는 데 걸리는 시간은?","전체 물의 양을 $1$로 두고, A, B, C 호스가 $1$시간 동안 채우는 양을 각각 $x, y, z$로 둔다.","주어진 조건에 따라 $x+y=\frac{1}{4}$, $y+z=\frac{1}{6}$, $z+x=\frac{1}{3}$ 이라는 세 개의 일차방정식을 세운다.","세 방정식을 모두 변끼리 더하여 $2(x+y+z) = \frac{3}{4}$를 유도하고 양변을 $2$로 나누어 $x+y+z = \frac{3}{8}$을 구한다.","세 호스가 함께 $1$시간 동안 채우는 양이 전체의 $\frac{3}{8}$이므로, 전체를 채우는 데 걸리는 시간은 그 역수인 $\frac{8}{3}$시간임을 계산한다.",1-2-3-4
DESIGN_VT_008,설계,VERY TOUGH,"이차함수 $y=-x^2+4x$의 그래프와 $x$축으로 둘러싸인 부분에 직사각형이 내접한다. 직사각형의 한 변이 $x$축 위에 있을 때 둘레의 길이의 최댓값은?","이차함수의 그래프가 직선 $x=2$에 대하여 선대칭임을 파악하고, 제 $1$사분면에 있는 꼭짓점의 $x$좌표를 $a$ ($2<a<4$)로 둔다.","해당 꼭짓점의 $y$좌표를 $-a^2+4a$로 표현하여 직사각형의 세로의 길이를 $a$에 관한 식으로 나타낸다.","대칭성에 의해 직사각형의 가로의 길이가 $2(a-2)$임을 파악하고, (가로+세로)$\times 2$를 통해 둘레의 길이를 이차함수 식으로 세운다.","둘레의 길이 식을 완전제곱식을 이용한 표준형으로 변형하여 꼭짓점을 찾고, 제한된 범위 내에서 최댓값을 구한다.",1-2-3-4
DESIGN_VT_009,설계,VERY TOUGH,"다항식 $(x+1)(x+3)(x+5)(x+7) + k$가 완전제곱식으로 인수분해되도록 하는 상수 $k$의 값은?","네 개의 일차식을 묶어 전개할 때, 상수항의 합이 같아져 공통부분이 생기도록 $(x+1)(x+7)$과 $(x+3)(x+5)$로 짝을 짓는다.","두 묶음을 각각 전개하여 $(x^2+8x+7)(x^2+8x+15) + k$의 형태로 만든다.","공통부분인 $x^2+8x$를 새로운 문자 $A$로 치환하고 식을 전개하여 $A^2 + 22A + 105 + k$라는 이차식을 세운다.","이 식이 $A$에 대한 완전제곱식이 되기 위해 일차항 계수 절반의 제곱이 상수항과 같아야 함을 이용하여 $11^2 = 105 + k$ 식을 풀고 $k$를 구한다.",1-2-3-4
DESIGN_VT_010,설계,VERY TOUGH,"두 자리 자연수 $A$의 십의 자리 숫자와 일의 자리 숫자를 바꾼 수를 $B$라 할 때, $\sqrt{A+B}$가 자연수가 되도록 하는 가장 큰 $A$의 값은?","$A$의 십의 자리 숫자를 $x$, 일의 자리 숫자를 $y$로 두고 $A=10x+y$, $B=10y+x$로 미지수를 이용해 표현한다.","$A+B$를 더하여 $11(x+y)$로 정리하고, 주어진 식이 $\sqrt{11(x+y)}$ 형태가 됨을 파악한다.","근호 전체가 자연수가 되려면 근호 안의 수가 어떤 수의 제곱이 되어야 하므로, $x+y$가 $11 \times k^2$ 꼴이어야 함을 추론한다.","$x, y$가 한 자리 자연수이므로 $x+y$의 최댓값이 $18$임을 이용해 유일한 경우인 $x+y=11$을 찾고 $A$가 최대가 되는 조합을 찾는다.",1-2-3-4
DESIGN_VT_011,설계,VERY TOUGH,"$x = \frac{\sqrt{3}+1}{\sqrt{3}-1}$, $y = \frac{\sqrt{3}-1}{\sqrt{3}+1}$일 때, $\frac{y^2}{x} + \frac{x^2}{y}$의 값은?","주어진 $x$와 $y$의 분모를 각각 유리화하여 $x = 2+\sqrt{3}$과 $y = 2-\sqrt{3}$으로 식을 간단히 한다.","대칭식의 계산을 위해 유리화된 두 수의 합인 $x+y=4$와 곱인 $xy=1$을 미리 계산해 둔다.","구하고자 하는 분수식을 공통분모 $xy$로 통분하여 $\frac{x^3+y^3}{xy}$ 형태로 변형한다.","분자의 $x^3+y^3$을 곱셈공식의 변형인 $(x+y)^3 - 3xy(x+y)$를 적용하여 오직 합과 곱의 수치만으로 최종 값을 계산한다.",1-2-3-4
DESIGN_VT_012,설계,VERY TOUGH,"이차방정식 $x^2 - ax + 2a = 0$의 두 근이 모두 양의 정수일 때, 이를 만족하는 상수 $a$의 값은?","두 양의 정수 근을 $\alpha, \beta$로 두고 근과 계수의 관계를 이용하여 $\alpha+\beta=a$와 $\alpha\beta=2a$라는 두 식을 세운다.","$a$를 소거하고 하나의 방정식으로 합치기 위해 첫 번째 식의 양변에 $2$를 곱하여 $2\alpha+2\beta = \alpha\beta$라는 등식을 유도한다.","모든 항을 이항하고 인수분해 기법을 억지로 적용하여 $(\alpha-2)(\beta-2) = 4$ 형태의 정수 조건 부정방정식을 만든다.","곱해서 $4$가 되는 정수 쌍 중 양의 정수 조건을 만족하는 $(\alpha, \beta)$ 쌍을 찾고 이를 이용해 $a$의 값을 도출한다.",1-2-3-4
DESIGN_VT_013,설계,VERY TOUGH,"작년 남학생과 여학생 수의 비는 $5:4$였다. 올해 남학생은 $10\%$ 증가하고 여학생은 $20$명 감소하여 전체가 $5\%$ 증가했다면 올해의 여학생 수는?","작년 남학생 수를 $5x$, 여학생 수를 $4x$로 두고, 작년 전체 학생 수를 $9x$로 미지수를 설정한다.","올해 학생 수의 변화량(증감)만을 추출하여 남학생은 $+0.1 \times 5x$, 여학생은 $-20$으로 수식화한다.","증감 인원을 모두 합한 값이 작년 전체 인원의 $5\%$ 증가와 같다는 방정식 $0.5x - 20 = 9x \times 0.05$를 세운다.","일차방정식을 풀어 $x$를 구하고, 이를 대입해 작년 여학생 수를 구한 뒤 $20$명을 빼서 최종적으로 올해 여학생 수를 구한다.",1-2-3-4
DESIGN_VT_014,설계,VERY TOUGH,"세 직선 $x-y+2=0, 2x+y-8=0, ax-y+1=0$이 삼각형을 이루지 않도록 하는 모든 상수 $a$의 값의 합은?","세 직선이 삼각형을 이루지 않는 첫 번째 조건은 세 직선 중 어느 두 직선이라도 서로 평행할 때임을 떠올린다.","세 번째 직선이 첫 번째 직선의 기울기와 같을 때의 $a$값, 두 번째 직선의 기울기와 같을 때의 $a$값을 각각 구한다.","세 직선이 삼각형을 이루지 않는 두 번째 조건은 세 직선이 모두 한 점에서 만날 때(교점이 일치할 때)임을 떠올린다.","첫 번째와 두 번째 직선을 연립하여 교점의 좌표를 구하고, 이 교점이 세 번째 직선 위에도 있어야 함을 이용해 남은 $a$값을 구하고 모두 더한다.",1-2-3-4
